Exercise,Date,Reps,Weight(lbs),Incline,Resistance,multiplier,Volume
Barbell Curl,2019-12-11,8,39.988750895846,0.0,0.0,1.0,319.910007166768
Barbell Curl,2019-12-11,8,39.988750895846,0.0,0.0,1.0,319.910007166768
Barbell Curl,2019-12-11,8,39.988750895846,0.0,0.0,1.0,319.910007166768
Barbell Curl,2020-02-08,10,49.985938619807506,0.0,0.0,1.0,499.8593861980751
Barbell Curl,2020-02-07,10,49.985938619807506,0.0,0.0,1.0,499.8593861980751
Barbell Curl,2019-09-03,8,44.987344757826754,0.0,0.0,1.0,359.89875806261404
Barbell Curl,2020-01-31,17,49.985938619807506,0.0,0.0,1.0,849.7609565367276
Barbell Curl,2020-02-18,6,54.984532481788264,0.0,0.0,1.0,329.90719489072956
Barbell Curl,2019-09-26,10,39.988750895846,0.0,0.0,1.0,399.88750895846005
Barbell Curl,2020-02-18,10,59.98312634376901,0.0,0.0,1.0,599.83126343769
Barbell Curl,2019-09-26,10,39.988750895846,0.0,0.0,1.0,399.88750895846005
Barbell Curl,2019-09-26,10,39.988750895846,0.0,0.0,1.0,399.88750895846005
Barbell Curl,2020-02-18,12,44.987344757826754,0.0,0.0,1.0,539.8481370939211
Barbell Curl,2020-02-08,6,49.985938619807506,0.0,0.0,1.0,299.915631718845
Barbell Curl,2019-09-03,6,44.987344757826754,0.0,0.0,1.0,269.92406854696054
Barbell Curl,2020-02-13,10,39.988750895846,0.0,0.0,1.0,399.88750895846005
Barbell Curl,2020-02-13,10,39.988750895846,0.0,0.0,1.0,399.88750895846005
Barbell Curl,2020-02-08,10,49.985938619807506,0.0,0.0,1.0,499.8593861980751
Barbell Curl,2020-01-22,8,44.987344757826754,0.0,0.0,1.0,359.89875806261404
Barbell Curl,2019-12-19,18,24.992969309903753,0.0,0.0,1.0,449.87344757826753
Barbell Curl,2020-01-22,8,39.988750895846,0.0,0.0,1.0,319.910007166768
Barbell Curl,2020-02-25,8,59.98312634376901,0.0,0.0,1.0,479.86501075015207
Barbell Curl,2019-12-06,8,39.988750895846,0.0,0.0,1.0,319.910007166768
Barbell Curl,2020-01-31,17,49.985938619807506,0.0,0.0,1.0,849.7609565367276
Barbell Curl,2019-09-03,8,44.987344757826754,0.0,0.0,1.0,359.89875806261404
Barbell Curl,2020-01-29,8,49.985938619807506,0.0,0.0,1.0,399.88750895846005
Barbell Curl,2020-01-29,8,39.988750895846,0.0,0.0,1.0,319.910007166768
Barbell Curl,2019-12-19,18,24.992969309903753,0.0,0.0,1.0,449.87344757826753
Barbell Curl,2020-02-07,10,49.985938619807506,0.0,0.0,1.0,499.8593861980751
Barbell Curl,2020-01-22,10,34.99015703386525,0.0,0.0,1.0,349.9015703386525
Barbell Curl,2020-02-07,6,49.985938619807506,0.0,0.0,1.0,299.915631718845
Barbell Curl,2020-01-29,8,49.985938619807506,0.0,0.0,1.0,399.88750895846005
Barbell Curl,2020-01-29,8,49.985938619807506,0.0,0.0,1.0,399.88750895846005
Barbell Curl,2020-01-29,8,39.988750895846,0.0,0.0,1.0,319.910007166768
Barbell Curl,2020-02-07,6,34.99015703386525,0.0,0.0,1.0,209.94094220319153
Barbell Curl,2019-12-06,8,39.988750895846,0.0,0.0,1.0,319.910007166768
Barbell Curl,2020-01-29,8,49.985938619807506,0.0,0.0,1.0,399.88750895846005
Barbell Curl,2020-02-08,10,49.985938619807506,0.0,0.0,1.0,499.8593861980751
Bent Over Barbell Row,2019-10-26,8,114.96765882555725,0.0,0.0,1.0,919.741270604458
Bent Over Barbell Row,2019-10-26,8,44.987344757826754,0.0,0.0,1.0,359.89875806261404
